name,length,theme,rationale,ideation_quality,crates_io,debian,debian_collision,homebrew,homebrew_collision,npm,crates_url,debian_search_url,homebrew_search_url,npm_url
hawse,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/hawse,https://packages.debian.org/search?keywords=hawse&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hawse,https://www.npmjs.com/package/hawse
debur,5,craft,"Building, fitting, sharpening, or finishing work",5,available,available,,available,,available,https://crates.io/crates/debur,https://packages.debian.org/search?keywords=debur&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=debur,https://www.npmjs.com/package/debur
elenk,5,inspection-rare,"Close examination, screening, or diagnostic work",6,available,available,,available,,available,https://crates.io/crates/elenk,https://packages.debian.org/search?keywords=elenk&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=elenk,https://www.npmjs.com/package/elenk
weigh,5,anchoring,"Fastening, persistence, or content anchoring",5,available,available,,available,,occupied,https://crates.io/crates/weigh,https://packages.debian.org/search?keywords=weigh&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=weigh,https://www.npmjs.com/package/weigh
clews,5,nautical-fastening,Specialist nautical fastening or anchor hardware,5,available,available,,available,,available,https://crates.io/crates/clews,https://packages.debian.org/search?keywords=clews&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=clews,https://www.npmjs.com/package/clews
crity,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/crity,https://packages.debian.org/search?keywords=crity&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=crity,https://www.npmjs.com/package/crity
qere,4,editorial-marks,Historic proofreading or textual-annotation mark,6,available,available,,available,,available,https://crates.io/crates/qere,https://packages.debian.org/search?keywords=qere&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qere,https://www.npmjs.com/package/qere
flaws,5,finishing,A flaw or rough remnant found and removed during finishing,3,available,available,,available,,available,https://crates.io/crates/flaws,https://packages.debian.org/search?keywords=flaws&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=flaws,https://www.npmjs.com/package/flaws
burrs,5,finishing,A flaw or rough remnant found and removed during finishing,5,available,available,,available,,available,https://crates.io/crates/burrs,https://packages.debian.org/search?keywords=burrs&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=burrs,https://www.npmjs.com/package/burrs
thole,5,nautical-fastening,Specialist nautical fastening or anchor hardware,5,available,available,,available,,available,https://crates.io/crates/thole,https://packages.debian.org/search?keywords=thole&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=thole,https://www.npmjs.com/package/thole
cites,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/cites,https://packages.debian.org/search?keywords=cites&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cites,https://www.npmjs.com/package/cites
diple,5,editorial-marks,Historic proofreading or textual-annotation mark,6,available,available,,available,,available,https://crates.io/crates/diple,https://packages.debian.org/search?keywords=diple&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=diple,https://www.npmjs.com/package/diple
adher,5,persistence,Staying attached to the same underlying content,6,available,available,,available,,available,https://crates.io/crates/adher,https://packages.debian.org/search?keywords=adher&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=adher,https://www.npmjs.com/package/adher
basan,5,inspection-rare,"Close examination, screening, or diagnostic work",6,available,available,,available,,available,https://crates.io/crates/basan,https://packages.debian.org/search?keywords=basan&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=basan,https://www.npmjs.com/package/basan
dokim,5,judgment,"Judgment, approval, standards, or peer collaboration",6,available,available,,available,,available,https://crates.io/crates/dokim,https://packages.debian.org/search?keywords=dokim&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=dokim,https://www.npmjs.com/package/dokim
